date,year,event_type,service_label,in_person,online,boxcast,youtube,facebook,notes
2025-12-24,2025,christmas_eve,2PM - T,279,,,,,
2025-12-24,2025,christmas_eve,4PM - T,319,,,,,
2025-12-24,2025,christmas_eve,4PM - C,453,,,,,
2025-12-24,2025,christmas_eve,6PM - C,155,,,,,
2025-12-24,2025,christmas_eve,8PM - T,309,,,,,
2025-12-24,2025,christmas_eve,11PM - T,100,,,,,
2025-12-24,2025,christmas_eve,2PM Y,,62,,62,,youtube
2025-12-24,2025,christmas_eve,6PM - Y,,94,,94,,youtube
2025-12-24,2025,christmas_eve,8PM - Y,,87,,87,,youtube
2025-12-24,2025,christmas_eve,11PM - Y,,70,,70,,youtube
2025-12-24,2025,christmas_eve,2PM,,1,1,,,boxcast
2025-12-24,2025,christmas_eve,4PM,,14,14,,,boxcast
2025-12-24,2025,christmas_eve,6PM,,7,7,,,boxcast
2025-12-24,2025,christmas_eve,8PM,,15,15,,,boxcast
2025-12-24,2025,christmas_eve,11PM,,8,8,,,boxcast
2025-12-24,2025,christmas_eve,TOTAL_IN_PERSON,1973,,,,,sheet total row
2024-12-24,2024,christmas_eve,2PM - T,206,,,,,
2024-12-24,2024,christmas_eve,2PM - C,137,,,,,
2024-12-24,2024,christmas_eve,4PM - C,512,,,,,
2024-12-24,2024,christmas_eve,8PM - T,434,,,,,
2024-12-24,2024,christmas_eve,11PM - T,113,,,,,
2024-12-24,2024,christmas_eve,2PM - Y(T),,44,,44,,youtube
2024-12-24,2024,christmas_eve,4PM - Y,,92,,92,,youtube
2024-12-24,2024,christmas_eve,8PM - Y,,34,,34,,youtube
2024-12-24,2024,christmas_eve,11PM - Y,,23,,23,,youtube
2024-12-24,2024,christmas_eve,2PM -B (T),,206,206,,,boxcast
2024-12-24,2024,christmas_eve,4PM - B,,15,15,,,boxcast
2024-12-24,2024,christmas_eve,8PM - B,,22,22,,,boxcast
2024-12-24,2024,christmas_eve,11PM - B,,0,0,,,boxcast
2024-12-24,2024,christmas_eve,TOTAL_IN_PERSON,1838,,,,,sheet total row
2023-12-24,2023,christmas_eve,9AM - T,233,,,,,
2023-12-24,2023,christmas_eve,11AM - C,224,,,,,
2023-12-24,2023,christmas_eve,2PM - C,133,,,,,
2023-12-24,2023,christmas_eve,4PM - C,481,,,,,
2023-12-24,2023,christmas_eve,8PM - T,328,,,,,
2023-12-24,2023,christmas_eve,11PM - T,111,,,,,
2023-12-24,2023,christmas_eve,9AM - T,,99,,99,,youtube
