date,year,month,trad_9,cont_9,kids_11,trad_11,cont_11,boxcast_9,youtube_9,facebook_9,boxcast_11,youtube_11,facebook_11,in_person,online,total,is_snow,is_easter,is_christmas_eve,exclude_from_averages,notes
2021-01-03,2021,1,,,,,,119,,54,71,,19,,441,441,false,false,false,false,COVID-era Jan–Feb 2021 schedule
2021-01-10,2021,1,,,,,,133,,61,63,,27,,453,453,false,false,false,false,COVID-era Jan–Feb 2021 schedule
2021-01-17,2021,1,,,,,,114,,60,58,,,,400,400,false,false,false,false,COVID-era Jan–Feb 2021 schedule
2021-01-24,2021,1,,,,,,110,,66,70,,21,,444,444,false,false,false,false,COVID-era Jan–Feb 2021 schedule
2021-01-31,2021,1,,,,,,110,,58,61,,18,,418,418,false,false,false,false,COVID-era Jan–Feb 2021 schedule
2021-02-07,2021,2,,,,,,93,,68,57,,16,,398,398,false,false,false,false,COVID-era Jan–Feb 2021 schedule
2021-02-14,2021,2,,,,,,99,,54,64,,14,,386,386,false,false,false,false,COVID-era Jan–Feb 2021 schedule
2021-02-21,2021,2,,,,,,114,,55,57,,14,,390,390,false,false,false,false,COVID-era Jan–Feb 2021 schedule
2021-02-28,2021,2,,,,,,97,,48,71,,17,,374,374,false,false,false,false,COVID-era Jan–Feb 2021 schedule
2021-03-07,2021,3,106,0,40,0,96,122,63,36,76,,21,242,318,560,false,false,false,false,
2021-03-14,2021,3,86,0,21,0,101,99,72,40,68,89,21,208,389,597,false,false,false,false,
2021-03-21,2021,3,80,0,17,0,113,131,66,0,104,92,27,210,420,630,false,false,false,false,
2021-03-28,2021,3,62,57,40,64,118,114,84,41,97,124,32,341,492,833,false,false,false,false,
2021-04-04,2021,4,147,169,38,177,204,146,192,51,133,101,35,735,658,1393,false,true,false,false,Easter Sunday
2021-04-11,2021,4,84,79,0,152,119,101,77,41,64,58,16,434,357,791,false,false,false,false,
2021-04-18,2021,4,75,76,0,129,162,,93,44,,96,30,442,263,705,false,false,false,false,
2021-04-25,2021,4,83,80,0,126,152,82,66,29,66,77,18,441,338,779,false,false,false,false,
2021-05-02,2021,5,91,93,0,114,183,82,56,25,65,59,27,481,314,795,false,false,false,false,
2021-05-09,2021,5,77,79,26,83,118,73,67,19,49,62,13,383,283,666,false,false,false,false,
2021-05-16,2021,5,89,72,0,121,146,74,61,21,61,56,22,428,295,723,false,false,false,false,
2021-05-23,2021,5,86,84,0,124,120,66,89,19,,62,13,414,249,663,false,false,false,false,
2021-05-30,2021,5,76,83,0,147,93,74,80,24,49,50,13,399,290,689,false,false,false,false,
2021-06-06,2021,6,69,88,0,132,107,63,75,26,44,74,13,396,295,691,false,false,false,false,
2021-06-13,2021,6,87,77,0,128,136,51,58,18,51,92,15,428,285,713,false,false,false,false,
2021-06-20,2021,6,85,71,0,109,134,47,79,24,44,122,15,399,331,730,false,false,false,false,
2021-06-27,2021,6,75,83,0,94,162,47,91,18,65,78,15,414,314,728,false,false,false,false,
2021-07-04,2021,7,58,64,0,115,79,0,99,25,53,83,17,316,277,593,false,false,false,false,
